embedding,clustering,k,alpha,mean,std
bge,spectral,9,0.5,0.19082000000000002,0.0598219543497387
bge,spectral,9,0.75,0.18275999999999998,0.058758549259755474
bge,spectral,10,0.25,0.2116,
bge,spectral,10,0.5,0.2116,
bge,spectral,10,0.75,0.1769,
e5,dbscan,2,0.25,0.44298333333333334,0.1097672158099433
e5,dbscan,2,0.5,0.44298333333333334,0.1097672158099433
e5,dbscan,2,0.75,0.44298333333333334,0.1097672158099433
e5,dbscan,3,0.25,0.29048214285714286,0.05799001225352539
e5,dbscan,3,0.5,0.2995107142857143,0.05911506882710923
e5,dbscan,3,0.75,0.299275,0.05919768279373904
e5,dbscan,4,0.25,0.21929259259259257,0.057789511464690836
e5,dbscan,4,0.5,0.26365555555555553,0.044681577113317425
e5,dbscan,4,0.75,0.2634925925925926,0.044754517828894856
e5,dbscan,5,0.25,0.205725,0.054647199640708286
e5,dbscan,5,0.5,0.22238750000000002,0.0676408042002543
e5,dbscan,5,0.75,0.22238750000000002,0.0676408042002543
e5,dbscan,6,0.25,0.161275,0.031246588904739955
e5,dbscan,6,0.5,0.17458333333333334,0.012672793574018988
e5,dbscan,6,0.75,0.17458333333333334,0.012672793574018988
e5,dbscan,7,0.25,0.16470833333333332,0.02953270785643155
e5,dbscan,7,0.5,0.18788333333333332,0.012969883530235682
e5,dbscan,7,0.75,0.18788333333333332,0.012969883530235682
e5,dbscan,8,0.25,0.1619,0.014954765126875115
e5,dbscan,8,0.5,0.18666,0.028588948913872304
e5,dbscan,8,0.75,0.19274,0.015185782824734467
e5,hac,2,0.25,0.4918288888888889,0.18292817843253797
e5,hac,2,0.5,0.5102666666666666,0.17929680573131954
e5,hac,2,0.75,0.5159555555555555,0.17716149996742256
e5,hac,3,0.25,0.3714316666666667,0.15922619658169052
e5,hac,3,0.5,0.37721916666666666,0.1561366888208482
e5,hac,3,0.75,0.37927999999999995,0.15563523482594718
e5,hac,4,0.25,0.3015857142857143,0.12969271332899035
e5,hac,4,0.5,0.31532809523809524,0.12830580926105578
e5,hac,4,0.75,0.31962333333333337,0.13165102659012137
e5,hac,5,0.25,0.2421111111111111,0.09822894975147829
e5,hac,5,0.5,0.26531944444444444,0.1057012620157489
e5,hac,5,0.75,0.27168611111111113,0.10986829749467335
e5,hac,6,0.25,0.20804714285714287,0.07960482852098288
e5,hac,6,0.5,0.23611285714285715,0.08662643041441295
e5,hac,6,0.75,0.2494033333333333,0.08872093951516151
e5,hac,7,0.25,0.17015583333333334,0.055808426513278046
e5,hac,7,0.5,0.20335166666666668,0.06680353231657732
e5,hac,7,0.75,0.2201783333333333,0.06416299122217596
e5,hac,8,0.25,0.13876222222222223,0.04075800138338087
e5,hac,8,0.5,0.1708711111111111,0.05847448014546883
