method,robustness_ratio
bge,0.3250955977625383
e5,0.37631212611460174
fasttext_pretrained,0.28558419367051047
glove_pretrained,0.1365865185797838
gte,0.2893100239949072
instructor,0.28482830136002874
minilm,0.551299446821835
mpnet,0.35351393668553166
sbert,0.40371997489587497
sroberta,0.3586127904242489
w2v_pretrained,0.067529853136295
w2v_self,0.24248291947674738
