k,method,rank,mean_f1
4,glove_pretrained,57,0.2234
5,logistic_regression,1,0.5620499999999999
5,w2v_pretrained,2,0.33655
5,minilm,3,0.3303968253968254
5,mpnet,4,0.32106349206349205
5,bge,5,0.31143333333333334
5,sroberta,6,0.3107309523809524
5,minilm,7,0.30651269841269846
5,mpnet,8,0.3053253968253968
5,gte,9,0.30392777777777774
5,minilm,10,0.30308293650793655
5,mpnet,11,0.3026968253968254
5,bge,12,0.2992345238095238
5,gte,13,0.2988575396825397
5,gte,14,0.2988325396825397
5,sroberta,15,0.2976234126984127
5,sbert,16,0.2936992063492064
5,sbert,17,0.29102857142857147
5,bge,18,0.28986666666666666
5,w2v_pretrained,19,0.2891205128205128
5,sbert,20,0.2887484126984127
5,instructor,21,0.2885559523809524
5,instructor,22,0.284943253968254
5,e5,23,0.28374484126984123
5,instructor,24,0.282340873015873
5,e5,25,0.27937936507936506
5,e5,26,0.27837182539682537
5,bge,27,0.2770222222222222
5,sroberta,28,0.2741181818181818
5,sroberta,29,0.27337896825396824
5,w2v_self,30,0.2733579365079365
5,w2v_pretrained,31,0.269281746031746
5,w2v_pretrained,32,0.2672075396825397
5,glove_pretrained,33,0.26385992063492064
5,minilm,34,0.2624083333333333
5,minilm,35,0.26161237113402064
5,glove_pretrained,36,0.2602690476190476
5,fasttext_pretrained,37,0.2595496031746031
5,sroberta,38,0.2563107142857143
5,glove_pretrained,39,0.25490158730158735
5,fasttext_pretrained,40,0.2530718253968254
5,w2v_pretrained,41,0.252693253968254
5,mpnet,42,0.24907142857142858
5,w2v_self,43,0.24811626984126986
5,fasttext_pretrained,44,0.24604325396825397
5,w2v_self,45,0.24515198412698413
5,e5,46,0.24189166666666664
5,gte,47,0.24149500000000002
5,glove_pretrained,48,0.239535
5,e5,49,0.2374125
5,fasttext_pretrained,50,0.2311
5,bge,51,0.224105
5,gte,52,0.2055
5,sbert,53,0.20262063492063492
5,mpnet,54,0.12350129870129871
6,logistic_regression,1,0.5130785714285715
6,minilm,2,0.30382761904761907
6,mpnet,3,0.2886633333333333
6,w2v_pretrained,4,0.28731666666666666
6,bge,5,0.2767647619047619
6,sroberta,6,0.2758419047619048
6,bge,7,0.27376666666666666
6,minilm,8,0.2716252380952381
6,minilm,9,0.27118
6,mpnet,10,0.2700357142857143
6,gte,11,0.26914333333333335
6,mpnet,12,0.26721761904761904
6,bge,13,0.2670361904761905
6,sbert,14,0.2668528571428571
6,gte,15,0.26682047619047616
6,gte,16,0.26555190476190477
6,instructor,17,0.2629309523809524
6,sroberta,18,0.2619238095238095
6,instructor,19,0.2593614285714286
6,e5,20,0.25821285714285713
6,sbert,21,0.25797809523809523
6,sbert,22,0.25706761904761904
6,instructor,23,0.25518238095238094
6,e5,24,0.2531309523809524
6,bge,25,0.24997809523809525
6,w2v_self,26,0.24704142857142858
6,e5,27,0.2465442857142857
6,sroberta,28,0.24370190476190476
6,w2v_pretrained,29,0.23456523809523808
6,glove_pretrained,30,0.22986619047619047
6,w2v_pretrained,31,0.2268342857142857
6,fasttext_pretrained,32,0.22614333333333334
6,w2v_pretrained,33,0.22274047619047618
6,gte,34,0.22232068965517243
6,w2v_self,35,0.22160333333333332
6,fasttext_pretrained,36,0.22085619047619048
6,glove_pretrained,37,0.22034238095238096
6,fasttext_pretrained,38,0.2172752380952381
6,w2v_self,39,0.21586238095238094
6,glove_pretrained,40,0.21512714285714285
6,minilm,41,0.21424999999999997
6,e5,42,0.20829375
6,mpnet,43,0.20205333333333333
6,fasttext_pretrained,44,0.1943
6,gte,45,0.1903269230769231
6,e5,46,0.18535000000000001
6,sbert,47,0.183485
6,sroberta,48,0.18336666666666668
6,minilm,49,0.15253111111111112
6,instructor,50,0.148725
6,sroberta,51,0.11047457627118644
6,mpnet,52,0.0960357142857143
7,logistic_regression,1,0.48475
7,minilm,2,0.26603333333333334
7,mpnet,3,0.257945
7,gte,4,0.24964416666666667
7,minilm,5,0.249635
7,minilm,6,0.24871333333333334
7,e5,7,0.24700083333333334
7,sroberta,8,0.24608666666666668
7,mpnet,9,0.24494916666666666
7,sbert,10,0.24321583333333333
7,bge,11,0.2432116666666667
7,bge,12,0.24266500000000002
7,gte,13,0.24096774193548387
7,mpnet,14,0.24081583333333334
7,gte,15,0.24060333333333334
7,instructor,16,0.2395475
7,gte,17,0.23765083333333334
7,sroberta,18,0.23510499999999998
