method,robustness_ratio
bge,0.3721182405355712
e5,0.39743589743589747
fasttext_pretrained,0.41840138365556867
glove_pretrained,0.1992340303520593
gte,0.3715782772636012
instructor,0.3752133566145455
minilm,0.5212712097322475
mpnet,0.3243035481210413
sbert,0.42357885423578856
sroberta,0.4417318461609664
w2v_pretrained,0.124971405041863
w2v_self,0.1992122605701209
