k,method,rank,mean_f1
4,fasttext_pretrained,56,0.14137307692307693
4,glove_pretrained,57,0.1346
5,logistic_regression,1,0.5620499999999999
5,minilm,2,0.2908321428571428
5,minilm,3,0.28169325396825395
5,minilm,4,0.2743904761904762
5,mpnet,5,0.26914722222222226
5,sroberta,6,0.26504126984126986
5,mpnet,7,0.2600980158730159
5,mpnet,8,0.25688492063492063
5,minilm,9,0.25415
5,sbert,10,0.24214285714285716
5,sbert,11,0.23885714285714285
5,sroberta,12,0.23884523809523808
5,mpnet,13,0.23175714285714286
5,gte,14,0.23046666666666665
5,gte,15,0.23046507936507934
5,minilm,16,0.2302443298969072
5,sbert,17,0.23003690476190475
5,gte,18,0.22658174603174602
5,e5,19,0.22484087301587302
5,bge,20,0.22265515873015873
5,sroberta,21,0.22229642857142856
5,sroberta,22,0.22153333333333333
5,instructor,23,0.2209190476190476
5,bge,24,0.2193111111111111
5,instructor,25,0.20784404761904762
5,bge,26,0.206695
5,instructor,27,0.20200714285714286
5,gte,28,0.1952
5,e5,29,0.19470912698412698
5,bge,30,0.1895579365079365
5,e5,31,0.18912222222222222
5,w2v_self,32,0.1881190476190476
5,gte,33,0.1869625
5,bge,34,0.18453333333333333
5,w2v_pretrained,35,0.1811642857142857
5,w2v_self,36,0.1803857142857143
5,w2v_pretrained,37,0.17709285714285714
5,fasttext_pretrained,38,0.175325
5,sbert,39,0.17516984126984128
5,w2v_pretrained,40,0.16967579365079363
5,w2v_self,41,0.16956904761904762
5,fasttext_pretrained,42,0.16839087301587302
5,e5,43,0.167525
5,fasttext_pretrained,44,0.16624563492063493
5,e5,45,0.163575
5,fasttext_pretrained,46,0.15789444444444445
5,w2v_pretrained,47,0.14568974358974357
5,w2v_pretrained,48,0.1455
5,glove_pretrained,49,0.13430952380952382
5,glove_pretrained,50,0.13044563492063493
5,glove_pretrained,51,0.12621507936507936
5,sroberta,52,0.12542727272727272
5,mpnet,53,0.11893246753246753
5,glove_pretrained,54,0.10124
6,logistic_regression,1,0.5130785714285715
6,minilm,2,0.2585976190476191
6,minilm,3,0.24901571428571428
6,minilm,4,0.24871190476190477
6,mpnet,5,0.24676333333333333
6,sroberta,6,0.23569809523809523
6,mpnet,7,0.23073809523809524
6,sbert,8,0.22195809523809526
6,mpnet,9,0.21997
6,sbert,10,0.21824095238095237
6,gte,11,0.21382428571428572
6,sbert,12,0.2101090476190476
6,minilm,13,0.20919999999999997
6,gte,14,0.20779809523809523
6,sroberta,15,0.20498761904761906
6,gte,16,0.19928238095238096
6,e5,17,0.1984047619047619
6,bge,18,0.19723238095238094
6,mpnet,19,0.19084
6,instructor,20,0.18809
6,bge,21,0.1862609523809524
6,sroberta,22,0.1852490476190476
6,instructor,23,0.17764285714285713
6,e5,24,0.16637714285714286
6,w2v_self,25,0.1647747619047619
6,instructor,26,0.16165142857142858
6,e5,27,0.1578552380952381
6,bge,28,0.1567352380952381
6,w2v_pretrained,29,0.15634
6,w2v_self,30,0.15231285714285714
6,gte,31,0.15166379310344827
6,w2v_pretrained,32,0.14901190476190476
6,bge,33,0.14613333333333334
6,fasttext_pretrained,34,0.14418380952380952
6,e5,35,0.14275833333333335
6,w2v_pretrained,36,0.1418957142857143
6,fasttext_pretrained,37,0.13988
6,fasttext_pretrained,38,0.13687190476190475
6,w2v_self,39,0.13592380952380953
6,fasttext_pretrained,40,0.13423809523809524
6,w2v_pretrained,41,0.13146666666666668
6,instructor,42,0.1287875
6,minilm,43,0.12848
6,gte,44,0.12608461538461538
6,sroberta,45,0.12193333333333334
6,sbert,46,0.11052500000000001
6,glove_pretrained,47,0.10597285714285715
6,sroberta,48,0.10484067796610169
6,glove_pretrained,49,0.1023557142857143
6,glove_pretrained,50,0.0963047619047619
6,e5,51,0.0936875
6,mpnet,52,0.07977857142857143
7,logistic_regression,1,0.48475
7,minilm,2,0.23984583333333334
7,minilm,3,0.2322375
7,minilm,4,0.22650333333333333
7,mpnet,5,0.22333
7,sroberta,6,0.21851083333333332
7,mpnet,7,0.2137425
7,sbert,8,0.20877666666666667
7,sbert,9,0.19616
7,mpnet,10,0.1952875
7,mpnet,11,0.19499999999999998
7,minilm,12,0.19431666666666667
7,gte,13,0.19352333333333332
7,gte,14,0.19103416666666667
7,sbert,15,0.1900125
