k,class_subset,embedding,clustering,precision,recall,f1,alpha
2,"[1, 4]",sbert,dbscan,0.6744,0.5371,0.337,0.5
2,"[1, 4]",sbert,dbscan,0.6744,0.5371,0.337,0.75
2,"[1, 4]",sbert,hdbscan,0.6354,0.5765,0.5672,0.25
2,"[1, 4]",sbert,hdbscan,0.6354,0.5765,0.5672,0.5
2,"[1, 4]",sbert,hdbscan,0.6354,0.5765,0.5672,0.75
2,"[2, 3]",sbert,kmeans,0.5017,0.5018,0.4917,0.25
2,"[2, 3]",sbert,kmeans,0.4983,0.4982,0.4956,0.5
2,"[2, 3]",sbert,kmeans,0.4983,0.4982,0.4956,0.75
2,"[2, 3]",sbert,hac,0.4992,0.4992,0.4657,0.25
2,"[2, 3]",sbert,hac,0.5008,0.5008,0.4997,0.5
2,"[2, 3]",sbert,hac,0.5008,0.5008,0.4997,0.75
2,"[2, 3]",sbert,spectral,0.4787,0.4778,0.475,0.25
2,"[2, 3]",sbert,spectral,0.4787,0.4778,0.475,0.5
2,"[2, 3]",sbert,spectral,0.5213,0.5222,0.5126,0.75
2,"[2, 3]",sbert,dbscan,0.4025,0.4959,0.3801,0.25
2,"[2, 3]",sbert,dbscan,0.4025,0.4959,0.3801,0.5
2,"[2, 3]",sbert,dbscan,0.4025,0.4959,0.3801,0.75
2,"[2, 3]",sbert,hdbscan,0.463,0.4849,0.4274,0.25
2,"[2, 3]",sbert,hdbscan,0.463,0.4849,0.4274,0.5
2,"[2, 3]",sbert,hdbscan,0.463,0.4849,0.4274,0.75
2,"[2, 4]",sbert,kmeans,0.7952,0.807,0.7886,0.25
2,"[2, 4]",sbert,kmeans,0.7952,0.807,0.7886,0.5
2,"[2, 4]",sbert,kmeans,0.7952,0.807,0.7886,0.75
2,"[2, 4]",sbert,hac,0.7684,0.7723,0.7447,0.25
2,"[2, 4]",sbert,hac,0.7684,0.7723,0.7447,0.5
2,"[2, 4]",sbert,hac,0.7684,0.7723,0.7447,0.75
2,"[2, 4]",sbert,spectral,0.7737,0.761,0.7656,0.25
2,"[2, 4]",sbert,spectral,0.7737,0.761,0.7656,0.5
2,"[2, 4]",sbert,spectral,0.7737,0.761,0.7656,0.75
2,"[2, 4]",sbert,dbscan,0.7092,0.5381,0.3659,0.25
2,"[2, 4]",sbert,dbscan,0.7092,0.5381,0.3659,0.5
2,"[2, 4]",sbert,dbscan,0.7092,0.5381,0.3659,0.75
2,"[2, 4]",sbert,hdbscan,0.5861,0.5862,0.5861,0.25
2,"[2, 4]",sbert,hdbscan,0.5861,0.5862,0.5861,0.5
2,"[2, 4]",sbert,hdbscan,0.5861,0.5862,0.5861,0.75
2,"[3, 4]",sbert,kmeans,0.6799,0.7112,0.679,0.25
2,"[3, 4]",sbert,kmeans,0.6799,0.7112,0.679,0.5
2,"[3, 4]",sbert,kmeans,0.6799,0.7112,0.679,0.75
2,"[3, 4]",sbert,hac,0.681,0.7077,0.6848,0.25
2,"[3, 4]",sbert,hac,0.681,0.7077,0.6848,0.5
2,"[3, 4]",sbert,hac,0.681,0.7077,0.6848,0.75
2,"[3, 4]",sbert,spectral,0.6627,0.6697,0.6657,0.25
2,"[3, 4]",sbert,spectral,0.6627,0.6697,0.6657,0.5
2,"[3, 4]",sbert,spectral,0.6627,0.6697,0.6657,0.75
2,"[3, 4]",sbert,dbscan,0.6508,0.5017,0.2351,0.25
2,"[3, 4]",sbert,dbscan,0.6508,0.5017,0.2351,0.5
2,"[3, 4]",sbert,dbscan,0.6508,0.5017,0.2351,0.75
2,"[3, 4]",sbert,hdbscan,0.5928,0.553,0.5459,0.25
2,"[3, 4]",sbert,hdbscan,0.5928,0.553,0.5459,0.5
2,"[3, 4]",sbert,hdbscan,0.5928,0.553,0.5459,0.75
3,"[0, 1, 2]",sbert,kmeans,0.7304,0.7218,0.7252,0.25
3,"[0, 1, 2]",sbert,kmeans,0.7304,0.7218,0.7252,0.5
3,"[0, 1, 2]",sbert,kmeans,0.7304,0.7218,0.7252,0.75
3,"[0, 1, 2]",sbert,hac,0.7231,0.6396,0.6484,0.25
3,"[0, 1, 2]",sbert,hac,0.7231,0.6396,0.6484,0.5
3,"[0, 1, 2]",sbert,hac,0.7231,0.6396,0.6484,0.75
3,"[0, 1, 2]",sbert,spectral,0.4587,0.374,0.3136,0.25
3,"[0, 1, 2]",sbert,spectral,0.4587,0.374,0.3136,0.5
3,"[0, 1, 2]",sbert,spectral,0.4587,0.374,0.3136,0.75
3,"[0, 1, 3]",sbert,kmeans,0.6875,0.6876,0.6829,0.25
3,"[0, 1, 3]",sbert,kmeans,0.6875,0.6876,0.6829,0.5
3,"[0, 1, 3]",sbert,kmeans,0.6875,0.6876,0.6829,0.75
3,"[0, 1, 3]",sbert,hac,0.6989,0.662,0.6531,0.25
3,"[0, 1, 3]",sbert,hac,0.6989,0.662,0.6531,0.5
3,"[0, 1, 3]",sbert,hac,0.6989,0.662,0.6531,0.75
3,"[0, 1, 3]",sbert,spectral,0.2802,0.3277,0.2613,0.25
3,"[0, 1, 3]",sbert,spectral,0.2802,0.3277,0.2613,0.5
3,"[0, 1, 3]",sbert,spectral,0.2802,0.3277,0.2613,0.75
3,"[0, 1, 4]",sbert,kmeans,0.7815,0.787,0.7762,0.25
3,"[0, 1, 4]",sbert,kmeans,0.7815,0.787,0.7762,0.5
3,"[0, 1, 4]",sbert,kmeans,0.7815,0.787,0.7762,0.75
3,"[0, 1, 4]",sbert,hac,0.738,0.7155,0.7111,0.25
3,"[0, 1, 4]",sbert,hac,0.738,0.7155,0.7111,0.5
3,"[0, 1, 4]",sbert,hac,0.738,0.7155,0.7111,0.75
3,"[0, 1, 4]",sbert,spectral,0.7022,0.7075,0.6936,0.25
3,"[0, 1, 4]",sbert,spectral,0.7022,0.7075,0.6936,0.5
3,"[0, 1, 4]",sbert,spectral,0.7022,0.7075,0.6936,0.75
3,"[0, 1, 4]",sbert,dbscan,0.7719,0.3373,0.1679,0.25
3,"[0, 1, 4]",sbert,dbscan,0.7719,0.3373,0.1679,0.5
3,"[0, 1, 4]",sbert,dbscan,0.7719,0.3373,0.1679,0.75
3,"[0, 1, 4]",sbert,hdbscan,0.5385,0.3378,0.1717,0.25
3,"[0, 1, 4]",sbert,hdbscan,0.5385,0.3378,0.1717,0.5
3,"[0, 1, 4]",sbert,hdbscan,0.2904,0.2945,0.2554,0.75
3,"[0, 2, 3]",sbert,kmeans,0.4991,0.5133,0.4952,0.25
3,"[0, 2, 3]",sbert,kmeans,0.4991,0.5133,0.4952,0.5
3,"[0, 2, 3]",sbert,kmeans,0.5101,0.5087,0.5094,0.75
3,"[0, 2, 3]",sbert,hac,0.4868,0.4943,0.4518,0.25
3,"[0, 2, 3]",sbert,hac,0.4868,0.4943,0.4518,0.5
3,"[0, 2, 3]",sbert,hac,0.4868,0.4943,0.4518,0.75
