k,class_subset,embedding,clustering,precision,recall,f1,alpha
2,"[2, 7]",sbert,hdbscan,0.4615,0.3243,0.381,
2,"[2, 8]",sbert,kmeans,0.4792,0.3108,0.377,
2,"[2, 8]",sbert,hac,0.4792,0.3108,0.377,
2,"[2, 8]",sbert,spectral,0.4792,0.3108,0.377,
2,"[2, 8]",sbert,dbscan,0.48,0.3243,0.3871,
2,"[2, 8]",sbert,hdbscan,0.48,0.3243,0.3871,
2,"[2, 9]",sbert,kmeans,0.642,0.6517,0.6374,
2,"[2, 9]",sbert,hac,0.5582,0.5608,0.558,
2,"[2, 9]",sbert,spectral,0.6632,0.6744,0.6562,
2,"[2, 9]",sbert,dbscan,0.621,0.629,0.6182,
2,"[2, 9]",sbert,hdbscan,0.6293,0.6382,0.6218,
2,"[3, 4]",sbert,kmeans,0.4406,0.4105,0.3778,
2,"[3, 4]",sbert,hac,0.3789,0.3789,0.25,
2,"[3, 4]",sbert,spectral,0.3077,0.2105,0.25,
2,"[3, 5]",sbert,kmeans,0.5938,0.6579,0.3979,
2,"[3, 5]",sbert,hac,0.6,0.6842,0.4359,
2,"[3, 5]",sbert,spectral,0.6154,0.7368,0.5089,
2,"[3, 6]",sbert,kmeans,0.8438,0.8308,0.824,
2,"[3, 6]",sbert,hac,0.5514,0.5514,0.55,
2,"[3, 6]",sbert,spectral,0.7084,0.7043,0.6992,
2,"[3, 6]",sbert,dbscan,0.5156,0.51,0.4689,
2,"[3, 7]",sbert,kmeans,0.3571,0.1316,0.1923,
2,"[3, 7]",sbert,hac,0.3571,0.1316,0.1923,
2,"[3, 7]",sbert,spectral,0.3571,0.1316,0.1923,
2,"[3, 8]",sbert,kmeans,0.5333,0.6316,0.2708,
2,"[3, 8]",sbert,hac,0.4688,0.3947,0.4286,
2,"[3, 8]",sbert,spectral,0.5385,0.6842,0.3407,
2,"[3, 9]",sbert,kmeans,0.783,0.7464,0.7258,
2,"[3, 9]",sbert,hac,0.7976,0.7691,0.7524,
2,"[3, 9]",sbert,spectral,0.783,0.7464,0.7258,
2,"[3, 9]",sbert,hdbscan,0.7879,0.6818,0.6321,
2,"[4, 5]",sbert,kmeans,0.25,0.3,0.2727,
2,"[4, 5]",sbert,hac,0.25,0.3,0.2727,
2,"[4, 5]",sbert,spectral,1.0,1.0,1.0,
2,"[4, 6]",sbert,kmeans,0.2727,0.1429,0.1875,
2,"[4, 6]",sbert,hac,0.3864,0.4048,0.3953,
2,"[4, 6]",sbert,spectral,0.4615,0.4381,0.4052,
2,"[4, 6]",sbert,dbscan,0.4583,0.4429,0.3373,
2,"[4, 6]",sbert,hdbscan,0.3182,0.3476,0.1911,
2,"[4, 7]",sbert,kmeans,0.75,0.8,0.7083,
2,"[4, 7]",sbert,hac,0.75,0.8,0.7083,
2,"[4, 7]",sbert,spectral,0.75,0.8,0.7083,
2,"[4, 8]",sbert,kmeans,0.3333,0.2,0.25,
2,"[4, 8]",sbert,hac,0.3333,0.2,0.25,
2,"[4, 8]",sbert,spectral,0.3333,0.2,0.25,
2,"[4, 9]",sbert,kmeans,0.6667,0.7727,0.6029,
2,"[4, 9]",sbert,hac,0.6316,0.6818,0.475,
2,"[4, 9]",sbert,spectral,0.7273,0.8636,0.7336,
2,"[4, 9]",sbert,hdbscan,0.6136,0.6136,0.3704,
2,"[5, 6]",sbert,kmeans,0.425,0.4048,0.4146,
2,"[5, 6]",sbert,hac,0.425,0.4048,0.4146,
2,"[5, 6]",sbert,spectral,0.3929,0.2619,0.3143,
2,"[5, 7]",sbert,kmeans,1.0,1.0,1.0,
2,"[5, 7]",sbert,hac,1.0,1.0,1.0,
2,"[5, 7]",sbert,spectral,0.875,0.75,0.7619,
2,"[5, 8]",sbert,kmeans,0.75,0.8333,0.7333,
2,"[5, 8]",sbert,hac,0.75,0.8333,0.7333,
2,"[5, 8]",sbert,spectral,0.75,0.8333,0.7333,
2,"[5, 9]",sbert,kmeans,0.5449,0.6061,0.4762,
2,"[5, 9]",sbert,hac,0.5714,0.5909,0.2788,
2,"[5, 9]",sbert,spectral,0.474,0.4394,0.4048,
2,"[5, 9]",sbert,hdbscan,0.5714,0.5909,0.2788,
2,"[6, 7]",sbert,kmeans,0.5722,0.6548,0.5788,
2,"[6, 7]",sbert,hac,0.625,0.8571,0.6167,
2,"[6, 7]",sbert,spectral,0.4885,0.4643,0.357,
2,"[6, 8]",sbert,kmeans,0.6,0.9048,0.614,
2,"[6, 8]",sbert,hac,0.4688,0.3571,0.4054,
2,"[6, 8]",sbert,spectral,0.5417,0.7381,0.3995,
2,"[6, 9]",sbert,kmeans,0.3538,0.3766,0.3496,
2,"[6, 9]",sbert,hac,0.4575,0.4719,0.4199,
2,"[6, 9]",sbert,spectral,0.8391,0.8171,0.8114,
2,"[6, 9]",sbert,hdbscan,0.7692,0.5909,0.5038,
2,"[7, 8]",sbert,kmeans,0.75,0.75,0.6667,
2,"[7, 8]",sbert,hac,0.75,0.75,0.6667,
2,"[7, 8]",sbert,spectral,0.75,0.75,0.6667,
2,"[7, 9]",sbert,kmeans,0.493,0.4773,0.3697,
2,"[7, 9]",sbert,hac,0.45,0.4091,0.4286,
2,"[7, 9]",sbert,spectral,0.6,0.8182,0.5556,
2,"[7, 9]",sbert,hdbscan,0.5526,0.6136,0.2804,
2,"[8, 9]",sbert,kmeans,0.5455,0.7727,0.4363,
2,"[8, 9]",sbert,hac,0.5263,0.5909,0.2038,
2,"[8, 9]",sbert,spectral,0.5455,0.7727,0.4363,
2,"[8, 9]",sbert,hdbscan,0.5278,0.6136,0.2378,
3,"[0, 1, 2]",sbert,kmeans,0.3422,0.2653,0.2374,
3,"[0, 1, 2]",sbert,hac,0.2986,0.2115,0.2016,
3,"[0, 1, 2]",sbert,spectral,0.349,0.3092,0.2662,
3,"[0, 1, 3]",sbert,kmeans,0.3898,0.4008,0.2428,
3,"[0, 1, 3]",sbert,hac,0.303,0.2725,0.2283,
3,"[0, 1, 3]",sbert,spectral,0.4037,0.4653,0.2672,
3,"[0, 1, 4]",sbert,kmeans,0.389,0.3574,0.2436,
3,"[0, 1, 4]",sbert,hac,0.3566,0.4526,0.2666,
3,"[0, 1, 4]",sbert,spectral,0.3747,0.3909,0.2777,
3,"[0, 1, 4]",sbert,hdbscan,0.3867,0.4615,0.2771,
3,"[0, 1, 5]",sbert,kmeans,0.3966,0.6613,0.2723,
3,"[0, 1, 5]",sbert,hac,0.4297,0.5965,0.3327,
3,"[0, 1, 5]",sbert,spectral,0.4081,0.7183,0.3167,
3,"[0, 1, 5]",sbert,hdbscan,0.3875,0.4615,0.2784,
3,"[0, 1, 6]",sbert,kmeans,0.4493,0.6264,0.3581,
3,"[0, 1, 6]",sbert,hac,0.3398,0.3493,0.2555,
3,"[0, 1, 6]",sbert,spectral,0.4627,0.6101,0.375,
3,"[0, 1, 7]",sbert,kmeans,0.3883,0.3495,0.2337,
3,"[0, 1, 7]",sbert,hac,0.4157,0.3743,0.3146,
3,"[0, 1, 7]",sbert,spectral,0.3824,0.3909,0.2823,
3,"[0, 1, 7]",sbert,hdbscan,0.388,0.4615,0.2791,
3,"[0, 1, 8]",sbert,kmeans,0.3835,0.3526,0.2555,
3,"[0, 1, 8]",sbert,hac,0.3682,0.5821,0.2529,
3,"[0, 1, 8]",sbert,spectral,0.3834,0.3929,0.2854,
3,"[0, 1, 8]",sbert,hdbscan,0.3884,0.4615,0.2797,
3,"[0, 1, 9]",sbert,kmeans,0.4405,0.5447,0.3277,
3,"[0, 1, 9]",sbert,hac,0.466,0.5849,0.3862,
3,"[0, 1, 9]",sbert,spectral,0.4846,0.6256,0.4175,
3,"[0, 2, 3]",sbert,kmeans,0.4694,0.4505,0.3666,
3,"[0, 2, 3]",sbert,hac,0.4667,0.4414,0.3537,
3,"[0, 2, 3]",sbert,spectral,0.4641,0.4324,0.3406,
3,"[0, 2, 3]",sbert,dbscan,0.2892,0.3275,0.3055,
3,"[0, 2, 4]",sbert,kmeans,0.4444,0.4261,0.4162,
3,"[0, 2, 4]",sbert,hac,0.5135,0.4324,0.3867,
3,"[0, 2, 4]",sbert,spectral,0.4707,0.4171,0.3931,
3,"[0, 2, 4]",sbert,dbscan,0.4174,0.3622,0.3869,
3,"[0, 2, 5]",sbert,kmeans,0.4824,0.4171,0.402,
3,"[0, 2, 5]",sbert,hac,0.5294,0.4414,0.4102,
3,"[0, 2, 5]",sbert,spectral,0.5074,0.4338,0.4135,
3,"[0, 2, 5]",sbert,dbscan,0.4331,0.3698,0.3921,
3,"[0, 2, 5]",sbert,hdbscan,0.4946,0.5039,0.4489,
3,"[0, 2, 6]",sbert,kmeans,0.354,0.4095,0.3408,
3,"[0, 2, 6]",sbert,hac,0.463,0.4324,0.3394,
3,"[0, 2, 6]",sbert,spectral,0.3959,0.4097,0.3348,
3,"[0, 2, 6]",sbert,dbscan,0.6058,0.5727,0.5281,
3,"[0, 2, 6]",sbert,hdbscan,0.6508,0.4383,0.3925,
3,"[0, 2, 7]",sbert,kmeans,0.4692,0.4171,0.4105,
3,"[0, 2, 7]",sbert,hac,0.5354,0.4414,0.4148,
3,"[0, 2, 7]",sbert,spectral,0.4467,0.3928,0.4008,
3,"[0, 2, 7]",sbert,dbscan,0.4453,0.3775,0.3978,
3,"[0, 2, 8]",sbert,kmeans,0.5484,0.4505,0.4348,
3,"[0, 2, 8]",sbert,hac,0.5417,0.4414,0.4197,
3,"[0, 2, 8]",sbert,spectral,0.4644,0.3928,0.4016,
3,"[0, 2, 8]",sbert,dbscan,0.4545,0.3775,0.403,
