method,robustness_ratio
bge,0.336377550316908
e5,0.08586527054717295
fasttext_pretrained,0.14131681332461604
glove_pretrained,0.1893069450925023
gte,0.020562132034496177
instructor,0.22397429951472234
logistic_regression,0.6930895537976945
minilm,0.28389667881158553
mpnet,0.25788152610441767
sbert,0.2873763331005077
sroberta,0.2587395095696875
w2v_pretrained,0.2700106723585913
w2v_self,0.15068265696581806
