embedding,k,difference
bge,2,0.0030000000000000027
bge,2,0.0030000000000000027
bge,2,-0.026900000000000035
bge,2,0.0030000000000000027
bge,2,0.0030000000000000027
bge,2,-0.026900000000000035
bge,2,0.03260000000000002
bge,2,0.03260000000000002
bge,2,0.00269999999999998
e5,2,-0.0017000000000000348
e5,2,-0.0017000000000000348
e5,2,-0.006800000000000028
e5,2,0.007299999999999973
e5,2,0.007299999999999973
e5,2,0.0021999999999999797
e5,2,0.007299999999999973
e5,2,0.007299999999999973
e5,2,0.0021999999999999797
fasttext_pretrained,2,-0.04630000000000001
fasttext_pretrained,2,-0.04630000000000001
fasttext_pretrained,2,-0.04630000000000001
fasttext_pretrained,2,-0.04630000000000001
fasttext_pretrained,2,-0.04630000000000001
fasttext_pretrained,2,-0.04630000000000001
fasttext_pretrained,2,-0.04630000000000001
fasttext_pretrained,2,-0.04630000000000001
fasttext_pretrained,2,-0.04630000000000001
glove_pretrained,2,-0.00040000000000001146
glove_pretrained,2,-0.00040000000000001146
glove_pretrained,2,-0.00040000000000001146
glove_pretrained,2,-0.00040000000000001146
glove_pretrained,2,-0.00040000000000001146
glove_pretrained,2,-0.00040000000000001146
glove_pretrained,2,-0.00040000000000001146
glove_pretrained,2,-0.00040000000000001146
glove_pretrained,2,-0.00040000000000001146
gte,2,-0.006900000000000017
gte,2,-0.006900000000000017
gte,2,-0.020899999999999974
gte,2,0.01789999999999997
gte,2,0.01789999999999997
gte,2,0.0039000000000000146
gte,2,0.01789999999999997
gte,2,0.01789999999999997
gte,2,0.0039000000000000146
instructor,2,0.005900000000000016
instructor,2,0.005900000000000016
instructor,2,0.005900000000000016
instructor,2,0.005900000000000016
instructor,2,0.005900000000000016
instructor,2,0.005900000000000016
instructor,2,0.005900000000000016
instructor,2,0.005900000000000016
instructor,2,0.005900000000000016
minilm,2,-0.002599999999999991
minilm,2,-0.002599999999999991
minilm,2,-0.008900000000000019
minilm,2,-0.002599999999999991
minilm,2,-0.002599999999999991
minilm,2,-0.008900000000000019
minilm,2,0.017900000000000027
minilm,2,0.017900000000000027
minilm,2,0.0116
mpnet,2,0.004500000000000004
mpnet,2,0.004500000000000004
mpnet,2,0.004500000000000004
mpnet,2,0.004500000000000004
mpnet,2,0.004500000000000004
mpnet,2,0.004500000000000004
mpnet,2,0.004500000000000004
mpnet,2,0.004500000000000004
mpnet,2,0.004500000000000004
sbert,2,0.033299999999999996
sbert,2,0.033299999999999996
sbert,2,0.033299999999999996
sbert,2,0.033299999999999996
sbert,2,0.033299999999999996
sbert,2,0.033299999999999996
sbert,2,0.033299999999999996
sbert,2,0.033299999999999996
sbert,2,0.033299999999999996
sroberta,2,-0.003599999999999992
sroberta,2,0.009500000000000008
sroberta,2,0.009500000000000008
sroberta,2,0.009800000000000031
sroberta,2,0.02290000000000003
sroberta,2,0.02290000000000003
sroberta,2,0.009800000000000031
sroberta,2,0.02290000000000003
sroberta,2,0.02290000000000003
w2v_pretrained,2,-0.017199999999999993
w2v_pretrained,2,-0.017199999999999993
w2v_pretrained,2,-0.030200000000000005
w2v_pretrained,2,-0.017199999999999993
w2v_pretrained,2,-0.017199999999999993
w2v_pretrained,2,-0.030200000000000005
w2v_pretrained,2,0.028799999999999992
w2v_pretrained,2,0.028799999999999992
w2v_pretrained,2,0.01579999999999998
w2v_self,2,0.003300000000000025
w2v_self,2,0.003300000000000025
w2v_self,2,0.02030000000000004
w2v_self,2,0.003300000000000025
w2v_self,2,0.003300000000000025
w2v_self,2,0.02030000000000004
w2v_self,2,-0.031200000000000006
w2v_self,2,-0.031200000000000006
w2v_self,2,-0.01419999999999999
