embedding,clustering,k,alpha,mean,std
w2v_pretrained,spectral,2,0.75,0.4143,
w2v_self,hac,2,0.25,0.4154,
w2v_self,hac,2,0.5,0.4154,
w2v_self,hac,2,0.75,0.3984,
w2v_self,hdbscan,2,0.25,0.2316,
w2v_self,hdbscan,2,0.5,0.2316,
w2v_self,hdbscan,2,0.75,0.2316,
w2v_self,kmeans,2,0.25,0.4187,
w2v_self,kmeans,2,0.5,0.4187,
w2v_self,kmeans,2,0.75,0.3842,
w2v_self,spectral,2,0.25,0.4368,
w2v_self,spectral,2,0.5,0.4368,
w2v_self,spectral,2,0.75,0.2253,
